date_visit,station,length_of_thermistor_string_on_surface_from_surface_marking,depth_new_thermistor_m,note,depth_ablation_hose_arrival_m,depth_ablation_hose_departure_m,height_sr50_aws_arrival_cm,height_sr50_aws_departure_cm,height_sr50_stakes_arrival_cm,height_sr50_stakes_departure_cm,note.1
2007-08-15,TAS_U,,"0.44, 1.44, 2.44, 3.44, 4.44, 5.44, 5.44, 5.44, 5.44 ",,,6,,,,,Found on the ground
2007-08-23,TAS_L,,,,,,,,,,The wind speed & direction sensor on this station is rotated 90 degrees relative to the boom.
2007-08-20,NUK_L,,"1, 2, 3,4, 5, 6, 6, 6",,,6,,,,,logger time is two hours off by mistake
2007-08-20,NUK_U,,"0.7, 1.7, 2.7, 3.7, 4.7, 5.7, 5.7, 5.7",,,6,,,,,logger time is two hours off by mistake
2007-08-24,QAS_L,,"0.78, 1.78, 2.78, 3.78, 4.78, 5.78, 5.78, 5.78",,,,,,,,
2008-07-17,KPC_L,,"1.2, 2.2, 3.2, 4.2, 5.2, 6.2, 7.2, 10.2",,,,,,,,
2008-07-17,KPC_U,,,,,,,,,,
2008-07-21,SCO_U,,,,,,,,,,
2008-07-22,SCO_L,,,,,,,,,,
2008-07-30,NUK_L,432,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2008-07-30,NUK_U,206,,,,,,,,,
2008-08-07,QAS_L,,"0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,AWS on the ground upon arrival
2008-08-07,QAS_U,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2008-09-01,KAN_L,,"1, 2, 3, 4, 5, 6, 7, 10",,,15,,,,,
2008-09-02,KAN_M,,,,,failed,,,,,
2009-04-02,KAN_L,,,,,,,,,,
2009-04-03,KAN_M,,"0.25, 1.25, 2.25, 3.25, 4.25,5.25, 6.25, 9.25",,,,,,,,
2009-04-05,KAN_U,,"-1.59, 0.59, 0.41, 1.41, 2.41, 3.41, 4.41, 7.41",,,,,,,,
2009-08-17,UPE_L,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2009-08-17,UPE_U,,"0.25, 1.25, 2.25, 3.25, 4.25, 5.25, 6.25, 9.25",,,,,,,,
2009-08-24,NUK_L,600,"0.15, 1.15, 2.15, 3.15, 4.15, 5.15, 6.15, 9.15",,,,,,,,
2009-08-24,NUK_U,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2009-08-31,QAS_L,,"0.35, 1.35, 2.35,  3.35, 4.35, 5.35, 6.35, 9.35",,,,,,,,Old station in crevasse. Station relocated 1.6km upstream
2009-08-31,QAS_U,,,,,,,,,,
2010-07-19,QAS_L,577,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2010-07-20,QAS_U,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2010-07-23,NUK_U,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2010-07-25,NUK_N,,,,,,,,,,
2010-07-25,NUK_L,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2010-07-26,SCO_U,350,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2010-07-26,SCO_L,610,"-1, 0, 1, 2, 3, 4, 5, 8",,,,,,,,
2010-08-05,TAS_L,940,"0.4, 1.4, 2.4, 3.4, 4.4, 5.4, 6.4, 9.4",,,,,,,,
2010-08-06,TAS_U,,"-2, -1, 0, 1, 2, 3, 4, 7",,,,,,,,
2010-08-08,MIT,580,,,,,,,,,
2010-05-15,KAN_M,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,Maintenance sheet missing ask Dirk
2010-05-15,KAN_L,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,Maintenance sheet missing ask Dirk
2010-08-10,THU_U,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2011-07-20,UPE_L,600,,,,,,,,,
2011-07-29,UPE_U,500,,,,,,,,,
2011-08-25,NUK_L,600,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2011-08-23,NUK_N,352,,,,,,,,,
2011-08-23,NUK_U,422,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,Station on the ground
2011-08-10,QAS_L,750,"1.1, 2.1, 3.1, 4.1, 5.1, 6.1, 7.1, 10.1",,,,,,,,
2011-08-11,QAS_U,249,,,,,,,,,
2011-08-09,TAS_L,465,,,,,,,,,
2011-08-09,TAS_U,360,,,,,,,,,
2011-06-03,KAN_L,,"0.36, 1.36, 2.36, 3.36, 4.36, 5.36, 6.36, 9.36",,,,,,,,
2011-04-20,KAN_M,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,"Not noted, guessed by bav"
2011-08-12,MIT,850,,,,,,,,,
2012-05-03,KAN_M,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2012-05-04,TAS_U,,"1.55, 2.55, 3.55, 4.55, 5.55, 6.55, 7.55, 10.55",,,,,,,,
2012-08-22,KAN_L,830,"1.07, 2.07, 3.07, 4.07, 5.07, 6.07, 7.07, 10.07",,,,,,,,
2012-08-28,NUK_L,625,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2012-08-28,NUK_N,980,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2012-08-27,NUK_U,325,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2012-08-20,QAS_A,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2012-08-17,QAS_L,650,,,,,,,,,
2012-08-17,QAS_U,405,,,,,,,,,AWS on the floor
2012-08-28,SCO_U,700,"0.8, 1.8, 2.8, 3.8, 4.8, 5.8, 6.8, 9.8",,,,,,,,
2012-09-05,MIT,,"0.55, 1.55, 2.55, 3.55, 4.55, 5.55, 6.55, 9.55",,,,,,,,
2012-09-03,TAS_L,180,"0.28, 1.28, 2.28, 3.28, 4.28, 5.28, 6.28, 9.28",,,,,,,,
2012-09-05,TAS_U,335,,,,,,,,,
2012-08-12,UPE_L,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,Maintenance sheet missing. Ask Michele.
2012-08-05,UPE_U,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,Maintenance sheet missing. Ask Michele.
2012-07-19,KPC_L,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,Maintenance sheet missing. Guess from bav
2013-08-15,QAS_A,41,,,,,,,,,
2013-08-16,QAS_L,1000,"0.63, 1.63, 2.63, 3.63, 4.63, 5.63, 6.63, 9.63",,,,,,,,
2013-08-15,QAS_U,465,,,,,,,,,
2013-07-22,NUK_U,28,"0.85, 1.85, 2.85, 3.85, 4.85, 5.85, 6.85, 9.85",,,,,,,,
2013-07-23,NUK_L,326,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,AWS on its side
2013-07-24,NUK_N,110,,,,,,,,,
2013-04-28,KAN_U,,"0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 9.5",,,,,,,,Maintenance sheet missing. Date and depths taken from Charalampidis paper
2013-08-29,TAS_A,,"1.19, 2.19, 3.19, 4.19, 5.19, 6.19, 10.19, 7.19",,,,,,,,
2013-09-01,MIT,,"1.65, 2.65, 3.65, 4.65, 5.65, 6.65, 7.65, 10.65",,,,,,,,
2013-08-27,TAS_L,340,,,,,,,,,
2013-08-13,TAS_U,550,,,,,,,,,
2013-08-02,UPE_L,50,"1.23, 2.23, 3.23, 4.23, 5.23, 6.23, 7.23, 10.23",,,,,,,,
2013-08-05,UPE_U,110,,,,,,,,,
2014-08-03,KAN_L,580,"0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 9.5",,,,,,,,
2014-08-14,KAN_M,420,,,,,,,,,
2014-07-28,NUK_K,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2014-07-26,NUK_L,540,"0.63, 1.63, 2.63, 3.63, 4.63, 5.63, 6.63, 9.63",,,,,,,,AWS moved 600m up glacier
2014-07-26,NUK_N,415,,,,,,,,,AWS stopped
2014-07-25,NUK_U,160,"0.85, 1.85, 2.85, 3.85, 4.85, 5.85, 6.85, 9.85",,,,,,,,
2014-08-23,QAS_L,600,"0.735, 1.735, 2.735, 3.735, 4.735, 5.735, 6.735, 9.735",,,,,,,,
2014-08-22,QAS_U,662,,,,,,,,,
2014-08-09,SCO_L,1000,"0.28, 1.28, 2.28, 3.28, 4.28, 5.28, 6.28, 9.28",,,,,,,,
2014-08-10,SCO_U,352,"0.46, 1.46, 2.46, 3.46, 4.46, 5.46, 6.46, 9.46",,,,,,,,
2014-07-31,MIT,50,"0.84, 1.84, 2.84, 3.84, 4.84, 5.84, 6.84, 9.84",,,,,,,,
2014-08-01,TAS_A,23,,,,,,,,,
2014-08-03,TAS_L,680,"0.54, 1.54, 2.54, 3.54, 4.54, 5.54, 6.54, 9.54",,,,,,,,
2014-08-03,TAS_U,,"0.68, 1.68, 2.68, 3.68, 4.68, 5.68, 6.68, 9.68",,,,,,,,
2014-09-13,THU_L,,"0.35, 1.35, 2.35, 3.35, 4.35, 5.35, 6.35, 9.35",,,,,,,,
2014-09-15,THU_U,,"0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 9.5",,,,,,,,
2015-05-04,KAN_U,,"-1.06, -0.06, 0.94, 1.94, 2.94, 3.94, 4.94, 7.94 ",,,,275.8,,,,
2015-07-23,NUK_L,447,"0.9, 1.9, 2.9, 3.9, 4.9, 5.9, 6.9, 9.9",,,,,,,,
2015-07-22,NUK_U,,"0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 9.5",,,,,,,,
2015-08-21,QAS_L,470,"-2.75, -1.75, -0.75, 0.25, 1.25, 2.25, 3.25, 6.25",,,,,,,,
2015-08-23,QAS_U,,"0, 1,  2, 3, 4, 5, 6, 9",,,,,,,,
2015-08-20,MIT,,"0.88, 1.88, 2.88, 3.88, 4.88, 5.88, 6.88, 9.88",,,,,,,,
2015-08-11,TAS_L,600,"1.2, 2.2, 3.2, 4.2, 5.2, 6.2, 7.2, 10.2",,,,,,,,
2015-08-13,TAS_U,660,,,,,,,,,AWS taken down
2015-08-01,UPE_L,510,,,,,,,,,
2015-08-03,UPE_U,344,"0.8, 1.8, 2.8, 3.8, 4.8, 5.8, 6.8, 9.8",,,,,,,,
2016-05-01,EGP,,"0.05, 0.10, 0.20, 0.30, 0.50, 0.75, 1, 1.5",,,,,,,,Date updated compared to note (saying August) because data starting to record in May.
2016-07-26,KPC_L,778,"1.04, 2.04, 3.04, 4.04, 5.04, 6.04, 7.04, 10.04",,,,,,,,
2016-08-11,QAS_L,OUT,"1.02, 2.02, 3.02, 4.02, 5.02, 6.02, 7.02, 10.02",,,,,,,,
2016-08-11,QAS_M,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2016-08-11,QAS_U,100,,,,,,,,,
2016-08-13,MIT,311,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2016-08-12,TAS_A,235,"0.57, 1.57, 2.57, 3.57, 4.57, 5.57, 9.57, 6.57",,,,,,,,
2016-08-12,TAS_L,460,"0.78, 1.78, 2.78, 3.78, 4.78, 5.78, 6.78, 9.78",,,,,,,,
2016-07-16,KAN_L,730,"0.4, 1.4, 2.4, 3.4, 4.4, 5.4, 6.4, 9.4",,,,,,,,
2016-07-22,THU_L,360,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,new string installed but no depth noted
2016-07-21,THU_U,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,wind sensor fallen down
2016-08-29,KAN_M,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,No maintenance sheet. Guessed by bav.
2017-09-01,KAN_L,580,"0.82, 1.82, 2.82, 3.82, 4.82, 5.82, 6.82, 9.82",,,,,,,,
2017-04-27,NUK_L,690,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2017-08-24,QAS_M,300,"1.35, 2.35, 3.35, 4.35, 5.35, 6.35, 7.35, 10.35",,,,,,,,
2017-08-24,QAS_U,220,,,,,,,,,
2017-08-06,SCO_L,,"1.70, 2.70, 3.70, 4.70, 5.70, 6.70, 7.70, 10.70",,,,,,,,
2017-08-04,SCO_U,,"1.10, 2.10, 3.10, 4.10, 5.10, 6.10, 7.10, 10.10",,,,,,,,
2017-07-28,MIT,110,,,,,,,,,
2017-07-27,TAS_L,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2017-08-25,UPE_U,,,no new therm,,,,,,,
2017-08-25,UPE_L,869,,,,,,,,,
2018-08-29,KAN_L,450,"0.8, 1.8, 2.8, 3.8, 4.8, 5.8, 6.8, 9.8",,,,,,,,
2018-08-29,KAN_M,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,"new string, depth not specified"
2018-08-28,KAN_U,,"0.8, 1.8, 2.8, 3.8, 4.8, 5.8, 6.8, 9.8",,,,,,,,
2018-07-30,NUK_L,800,"1.25, 2.25, 3.25, 4.25, 5.25, 6.25, 7.25, 10.25",,,,,,,,
2018-07-30,NUK_U,465,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2018-08-27,QAS_L,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,"new string, depth not specified"
2018-08-31,QAS_M,,"0.63, 1.63, 2.63, 3.63, 4.63, 5.63, 6.63, 9.63",,,,,,,,
2018-08-31,QAS_U,,"0, 1, 2, 3, 4, 5, 6, 9",,,,,,,,
2018-09-01,TAS_A,,"1, 2, 3, 4, 5, 6, 10, 7",,,,,,,,old station had collapsed
2018-05-22,THU_U,500,,,,,,,,,
2018-08-04,UPE_L,OUT,,,,,,,250.0,69.0,
2018-08-04,UPE_U,218,"-1.46, -0.46, 0.54, 1.54, 2.54, 3.54, 4.54, 7.54",,,168,266.0,275.0,102.0,90.0,
2019-05-31,EGP,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2019-09-04,KAN_L,500,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2019-09-03,KAN_M,7.5,,,,,,,,,
2019-09-18,NUK_K,1000,"0.75, 1.75, 2.75, 3.75, 4.75, 5.75, 6.75, 9.75",,,,,,,,
2019-09-18,NUK_L,,"0.65, 1.65, 2.65, 3.65, 4.65, 5.65, 6.65, 9.65",,,,,,,,
2019-08-21,QAS_L,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2019-08-30,QAS_U,220,,,,,,,,,
2019-07-12,KPC_L,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,"Maintenance sheet missing, ask Allan"
2020-09-12,KAN_M,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2020-09-08,KAN_U,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2020-09-09,KAN_L,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2020-08-28,NUK_L,600,,,,,,,,,
2020-08-31,NUK_U,1000,,,,,,,,,
2020-09-01,QAS_M,310,,,,,,,,,
2020-07-26,SCO_L,1000,"0.7, 1.7, 2.7, 3.7, 4.7, 5.7, 6.7, 9.7",,,,,,,,
2020-07-26,SCO_U,450,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2020-08-08,UPE_L,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2020-08-08,UPE_U,240,"-4, -3, -2, -1, 0, 1, 2, 5",,,,,,,,
2020-08-07,JAR,,"0.32, 1.32, 2.32, 3.32, 4.32, 5.32, 6.32, 9.32",,,,,,,,
2020-08-08,SWC,,"0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 9.5",,,,,,,,
2021-09-04,THU_L,,"0.94, 1.94, 2.94, 3.94, 4.94, 5.94, 6.94, 9.94",,,,,,,,
2021-08-17,KAN_L,303,"0.7, 1.7, 2.7, 3.7, 4.7, 5.7, 6.7, 9.7",,,,,,,,
2021-08-21,KAN_M,112,"0.85, 1.85, 2.85, 3.85, 4.85, 5.85, 6.85, 9.85",,,,,,,,
2021-09-07,TAS_A,300,,,,,,,,,
2021-09-07,TAS_L,430,,,,,,,,,
2021-09-01,QAS_L,435,,,,,,,,,
2021-08-31,QAS_M,542,,,,,,,,,
2021-09-01,QAS_U,408,,,,,,,,,
2022-08-02,SWC,,,string disconnected,,,,,,,
2022-08-02,SWC_O,,"0.26, 1.26, 2.26, 3.26, 4.26, 5.26, 6.26, 9.26",,,,,,,,
2022-08-03,JAR_O,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2022-08-29,QAS_L,,"0.51, 1.51, 2.51, 3.51, 4.51, 5.51, 6.51, 9.51",,,,,,,,
2022-08-29,QAS_Lv3,,,thm = ablobender,,,,,,,
2022-08-30,QAS_M,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2022-08-31,QAS_U,475,,,,,,,,,
2022-08-31,QAS_Uv3,,"0, 1, 2, 3, 4, 5, 6, 9",,,,,,,,
2022-08-19,NUK_L,362,"0.62, 1.62, 2.62, 3.62, 4.62, 5.62, 6.62, 9.62",,,,,,,,
2022-08-19,NUK_U,784,"0.6, 1.6, 2.6, 3.6, 4.6, 5.6, 6.6, 9.6",,,,,,,,
2022-08-19,NUK_Uv3,300,,,,,,,,,
2022-05-28,KPC_Lv3,,"0.45, 1.45, 2.45, 3.45, 4.45, 5.45, 6.45, 9.45",,,,,,,,
2022-05-28,KPC_L,,,,,,,,,,
2022-05-28,KPC_U,,,,,,,,,,
2022-05-28,KPC_Uv3,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
2022-08-22,KAN_L,364,"0.44, 1.44, 2.44, 3.44, 4.44, 5.44, 6.44, 9.44",,,,,,,,
2022-08-24,KAN_M,40,,,,,,,,,
2022-09-07,SCO_L,900,"0.9, 1.9, 2.9, 3.9, 4.9, 5.9, 6.9, 9.9",,,,,,,,
2022-09-06,SCO_U,,"0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 9.5",,,,,,,,
2022-09-02,TAS_A,300,"0.85, 1.85, 2.85, 3.85, 4.85, 5.85, 6.85, 9.85",fallen,,,,,,,
2022-06-17,CEN2,,"0, 0.5, 1, 1.5, 2, 2.5, 3, 4, 6, 8, 10",,,,,,,,
2022-06-15,CP1,,"0, 0.5, 1, 1.5, 2, 2.5, 3, 4, 6, 8, 10",,,,,,,,
2023-06-11,SDM,,"0, 0.5, 1, 1.5, 2, 2.5, 3, 4, 6, 8, 10",,,,,,,,
2023-06-15,SDL,,"0, 0.5, 1, 1.5, 2, 2.5, 3, 4, 6, 8, 10",,,,,,,,
2023-06-09,NSE,,"0, 0.5, 1, 1.5, 2, 2.5, 3, 4, 6, 8, 10",,,,,,,,
2023-06-08,KAN_U,,"0, 1, 2, 3, 4, 5, 6, 9",,,,,,,,
2023-08-07,UPE_L,,"0.85, 1.85, 2.85, 3.85, 4.85, 5.85, 6.85, 9.85",,,,,,,,
2023-05-31,THU_L2,,"0.55, 1.55, 2.55, 3.55, 4.55, 5.55, 6.55, 9.55",,,,,,,,
2023-08-17,NUK_Uv3,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
